Symbol,Name Company
CQT,CÔNG TY CỔ PHẦN XI MĂNG QUÁN TRIỀU - VVMI
CRC,CÔNG TY CỔ PHẦN CREATE CAPITAL VIỆT NAM
CRE,CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN THẾ KỶ
CRV,CÔNG TY CỔ PHẦN TẬP ĐOÀN BẤT ĐỘNG SẢN CRV
CSC,CÔNG TY CỔ PHẦN TẬP ĐOÀN COTANA
CSG,CÔNG TY CỔ PHẦN CÁP SÀI GÒN
CSM,CÔNG TY CP CÔNG NGHIỆP CAO SU MIỀN NAM
CST,CÔNG TY CỔ PHẦN THAN CAO SƠN - TKV
CSV,CÔNG TY CỔ PHẦN HÓA CHẤT CƠ BẢN MIỀN NAM
CT3,CTCP ĐẦU TƯ VÀ XÂY DỰNG CÔNG TRÌNH 3
CT5,CÔNG TY CỔ PHẦN 319.5
CT6,CÔNG TY CỔ PHẦN CÔNG TRÌNH 6
CTA,CÔNG TY CỔ PHẦN VINAVICO
CTB,CÔNG TY CỔ PHẦN CHẾ TẠO BƠM HẢI DƯƠNG
CTC,CÔNG TY CỔ PHẦN TẬP ĐOÀN HOÀNG KIM TÂY NGUYÊN
CTD,CÔNG TY CỔ PHẦN XÂY DỰNG COTECCONS
CTE,CÔNG TY CỔ PHẦN HẠ TẦNG VIỄN THÔNG CMC
CTF,CÔNG TY CỔ PHẦN CITY AUTO
CTI,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN CƯỜNG THUẬN IDICO
CTM,"CÔNG TY CỔ PHẦN ĐẦU TƯ, XÂY DỰNG VÀ KHAI THÁC MỎ VINAVICO"
CTN,CÔNG TY CỔ PHẦN XÂY DỰNG CÔNG TRÌNH NGẦM
CTP,CÔNG TY CỔ PHẦN MINH KHANG CAPITAL TRADING PUBLIC
CTR,TỔNG CÔNG TY CỔ PHẦN CÔNG TRÌNH VIETTEL
CTT,CÔNG TY CỔ PHẦN CHẾ TẠO MÁY VINACOMIN
CTV,CÔNG TY CỔ PHẦN ĐẦU TƯ - SẢN XUẤT VÀ THƯƠNG MẠI VIỆT NAM
CTW,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC CẦN THƠ
CTX,TỔNG CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI VIỆT NAM
CVC,CÔNG TY CỔ PHẦN CƠ ĐIỆN VẬT TƯ
CVH,"CÔNG TY CỔ PHẦN CÔNG VIÊN, CÂY XANH HẢI PHÒNG"
CVN,CÔNG TY CỔ PHẦN VINAM
CVP,CÔNG TY CỔ PHẦN CẢNG CỬA VIỆT
CVT,CÔNG TY CỔ PHẦN CMC
CX8,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY LẮP CONSTREXIM SỐ 8
CXC,CÔNG TY CỔ PHẦN CẦU XÂY
CXH,CÔNG TY CỔ PHẦN XE KHÁCH HÀ NỘI
CYC,CTCP GẠCH MEN CHANG YIH
CZC,CÔNG TY CỔ PHẦN THAN MIỀN TRUNG
D11,CÔNG TY CỔ PHẦN ĐỊA ỐC 11
D26,CTCP QUẢN LÝ VÀ XÂY DỰNG ĐƯỜNG BỘ 26
D2D,CÔNG TY CP PHÁT TRIỂN ĐÔ THỊ CÔNG NGHIỆP SỐ 2
DAC,CÔNG TY CỔ PHẦN 382 ĐÔNG ANH
DAD,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN GIÁO DỤC ĐÀ NẴNG
DAE,CÔNG TY CỔ PHẦN SÁCH GIÁO DỤC TẠI TP. ĐÀ NẴNG
DAG,CÔNG TY CỔ PHẦN TẬP ĐOÀN NHỰA ĐÔNG Á
DAH,CÔNG TY CỔ PHẦN TẬP ĐOÀN KHÁCH SẠN ĐÔNG Á
DAN,CÔNG TY CỔ PHẦN DƯỢC DANAPHA
DAP,CÔNG TY CỔ PHẦN ĐÔNG Á
DAR,CÔNG TY CỔ PHẦN XE LỬA DĨ AN
DAS,CÔNG TY CỔ PHẦN MÁY - THIẾT BỊ DẦU KHÍ ĐÀ NẴNG
DAT,CÔNG TY CỔ PHẦN ĐẦU TƯ DU LỊCH VÀ PHÁT TRIỂN THỦY SẢN
DBC,CÔNG TY CỔ PHẦN TẬP ĐOÀN DABACO VIỆT NAM
DBD,CÔNG TY CỔ PHẦN DƯỢC - TRANG THIẾT BỊ Y TẾ BÌNH ĐỊNH (BIDIPHAR)
DBF,CÔNG TY CỔ PHẦN LƯƠNG THỰC ĐÔNG BẮC
DBH,CÔNG TY CỔ PHẦN ĐƯỜNG BỘ HẢI PHÒNG
DBM,CTCP DƯỢC - VẬT TƯ Y TẾ ĐẮK LẮK
DBT,CTCP DƯỢC PHẨM BẾN TRE
DBV,CÔNG TY CỔ PHẦN QUẢN LÝ VÀ SỬA CHỮA ĐƯỜNG BỘ VĨNH PHÚC
DBW,CÔNG TY CỔ PHẦN CẤP NƯỚC ĐIỆN BIÊN
DC1,CTCP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG SỐ 1
DC2,CTCP ĐẦU TƯ PHÁT TRIỂN - XÂY DỰNG (DIC) SỐ 2
DC4,CÔNG TY CỔ PHẦN XÂY DỰNG DIC HOLDINGS
DCC,CTCP XÂY DỰNG CÔNG NGHIỆP
DCD,CTCP DU LỊCH VÀ THƯƠNG MẠI DIC
DCF,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THIẾT KẾ SỐ 1
DCG,CÔNG TY CỔ PHẦN TỔNG CÔNG TY MAY ĐÁP CẦU
DCH,CÔNG TY CỔ PHẦN ĐỊA CHÍNH HÀ NỘI
DCI,CÔNG TY CỔ PHẦN CÔNG NGHIỆP HÓA CHẤT ĐÀ NẴNG
DCL,CÔNG TY CỔ PHẦN DƯỢC PHẨM CỬU LONG
DCM,CÔNG TY CỔ PHẦN PHÂN BÓN DẦU KHÍ CÀ MAU
DCR,CÔNG TY CỔ PHẦN GẠCH MEN COSEVCO
DCS,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẠI CHÂU
DCT,CTCP TẤM LỢP VẬT LIỆU XÂY DỰNG ĐỒNG NAI
DDG,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHIỆP XUẤT NHẬP KHẨU ĐÔNG DƯƠNG
DDH,CÔNG TY CỔ PHẦN ĐẢM BẢO GIAO THÔNG ĐƯỜNG THỦY HẢI PHÒNG
DDM,CÔNG TY CỔ PHẦN HÀNG HẢI ĐÔNG ĐÔ
DDN,CÔNG TY CỔ PHẦN DƯỢC - THIẾT BỊ Y TẾ ĐÀ NẴNG
DDV,CÔNG TY CỔ PHẦN DAP – VINACHEM
DFC,CÔNG TY CỔ PHẦN XÍCH LÍP ĐÔNG ANH
DFF,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐUA FAT
DFK,CÔNG TY TNHH KIỂM TOÁN DFK VIỆT NAM
DFS,CÔNG TY CỔ PHẦN CHẾ BIẾN XUẤT NHẬP KHẨU NÔNG SẢN THỰC PHẨM ĐỒNG NAI
DGC,CÔNG TY CỔ PHẦN TẬP ĐOÀN HÓA CHẤT ĐỨC GIANG
DGL,CÔNG TY CỔ PHẦN HÓA CHẤT ĐỨC GIANG - LÀO CAI
DGT,CTCP CÔNG TRÌNH GIAO THÔNG ĐỒNG NAI
DGW,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ
DHA,CTCP HÓA AN
DHB,CÔNG TY CỔ PHẦN PHÂN ĐẠM VÀ HÓA CHẤT HÀ BẮC
DHC,CÔNG TY CỔ PHẦN ĐÔNG HẢI BẾN TRE
DHD,CTCP DƯỢC VẬT TƯ Y TẾ HẢI DƯƠNG
DHG,CÔNG TY CỔ PHẦN DƯỢC HẬU GIANG
DHI,CTCP IN DIÊN HỒNG
DHL,CÔNG TY CỔ PHẦN CƠ KHÍ VẬN TẢI THƯƠNG MẠI ĐẠI HƯNG
DHM,CÔNG TY CỔ PHẦN THƯƠNG MẠI & KHAI THÁC KHOÁNG SẢN DƯƠNG HIẾU
DHN,CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ NỘI
DHP,CÔNG TY CỔ PHẦN ĐIỆN CƠ HẢI PHÒNG
DHQ,CÔNG TY CỔ PHẦN DUYÊN HẢI QUẢNG NINH
DHT,CÔNG TY CỔ PHẦN DƯỢC PHẨM HÀ TÂY
DIC,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI DIC
DID,CÔNG TY CỔ PHẦN DIC - ĐỒNG TIẾN
DIG,TỔNG CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG
DIH,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG HỘI AN
DKC,CÔNG TY CỔ PHẦN CHỢ LẠNG SƠN
DKH,TRUNG TÂM ĐĂNG KIỂM PHƯƠNG TIỆN GIAO THÔNG THỦY BỘ (TÊN DOANH NGHIỆP DỰ KIẾN SAU KHI CỔ PHẦN HÓA: CÔNG TY CỔ PHẦN ĐĂNG KIỂM HẬU GIANG)
DKP,CÔNG TY CỔ PHẦN DƯỢC KHOA
DKW,CÔNG TY CỔ PHẦN CẤP NƯỚC SINH HOẠT CHÂU THÀNH
DL1,CÔNG TY CỔ PHẦN TẬP ĐOÀN ALPHA SEVEN
DLC,CTCP DU LỊCH CẦN THƠ
DLD,CTCP DU LỊCH ĐẮK LẮK
DLG,CTCP TẬP ĐOÀN ĐỨC LONG GIA LAI
DLM,CÔNG TY CỔ PHẦN CHIẾU SÁNG CÔNG CỘNG ĐÀ NẴNG
DLR,CTCP ĐỊA ỐC ĐÀ LẠT
DLT,CÔNG TY CỔ PHẦN DU LỊCH VÀ THƯƠNG MẠI - VINACOMIN
DLV,CTCP DU LỊCH VIỆT NAM VITOURS
DLX,CÔNG TY CỔ PHẦN DELEX VIỆT NAM
DM7,CÔNG TY CỔ PHẦN DỆT MAY 7
DMC,CÔNG TY CP XUẤT NHẬP KHẨU Y TẾ DOMESCO
DMH,CÔNG TY CỔ PHẦN DƯỢC MINH HẢI
DMN,CÔNG TY CỔ PHẦN DOMENAL
DNA,CÔNG TY CỔ PHẦN ĐIỆN NƯỚC AN GIANG
DNB,CÔNG TY CỔ PHẦN SÁCH VÀ THIẾT BỊ TRƯỜNG HỌC TỈNH ĐẮK NÔNG
DNC,CÔNG TY CỔ PHẦN ĐIỆN NƯỚC LẮP MÁY HẢI PHÒNG
DND,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ VẬT LIỆU ĐỒNG NAI
DNE,CÔNG TY CỔ PHẦN MÔI TRƯỜNG ĐÔ THỊ ĐÀ NẴNG
DNF,CÔNG TY CỔ PHẦN LƯƠNG THỰC ĐÀ NẴNG
DNG,CÔNG TY CỔ PHẦN LẮP MÁY ĐIỆN NƯỚC VÀ XÂY DỰNG
DNH,CÔNG TY CỔ PHẦN THỦY ĐIỆN ĐA NHIM - HÀM THUẬN - ĐA MI
DNL,CÔNG TY CỔ PHẦN LOGISTICS CẢNG ĐÀ NẴNG
DNM,TỔNG CÔNG TY CỔ PHẦN Y TẾ DANAMECO
DNN,CÔNG TY CỔ PHẦN CẤP NƯỚC ĐÀ NẴNG
DNP,CÔNG TY CỔ PHẦN DNP HOLDING
DNR,CÔNG TY CỔ PHẦN ĐƯỜNG SẮT QUẢNG NAM - ĐÀ NẴNG
DNS,CÔNG TY CỔ PHẦN THÉP ĐÀ NẴNG
DNT,CTCP DU LỊCH ĐỒNG NAI (ĐÃ HỦY ĐĂNG KÝ)
DNV,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ VDA ĐÀ NẴNG
DNW,CÔNG TY CỔ PHẦN CẤP NƯỚC ĐỒNG NAI
DNY,CÔNG TY CỔ PHẦN THÉP DANA - Ý
DO3,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ KINH DOANH ĐỊA ỐC III.
DOC,CÔNG TY CỔ PHẦN VẬT TƯ NÔNG NGHIỆP ĐỒNG NAI
DOP,CÔNG TY CỔ PHẦN VẬN TẢI XĂNG DẦU ĐỒNG THÁP
DP1,CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG CPC1
DP2,CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG 2
DP3,CÔNG TY CỔ PHẦN DƯỢC PHẨM TRUNG ƯƠNG 3
DPC,CÔNG TY CỔ PHẦN NHỰA ĐÀ NẴNG
DPD,CÔNG TY CỔ PHẦN CAO SU ĐỒNG PHÚ - ĐẮK NÔNG
DPG,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẠT PHƯƠNG
DPH,CÔNG TY CỔ PHẦN DƯỢC PHẨM HẢI PHÒNG
DPM,TỔNG CÔNG TY PHÂN BÓN VÀ HOÁ CHẤT DẦU KHÍ - CTCP
DPP,CTCP DƯỢC ĐỒNG NAI
DPR,CÔNG TY CỔ PHẦN CAO SU ĐỒNG PHÚ
DPS,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN SÓC SƠN
DQC,CÔNG TY CỔ PHẦN BÓNG ĐÈN ĐIỆN QUANG
DRC,CÔNG TY CỔ PHẦN CAO SU ĐÀ NẴNG
DRG,CÔNG TY CỔ PHẦN CAO SU ĐẮK LẮK
DRH,CÔNG TY CỔ PHẦN DRH HOLDINGS
DRI,CÔNG TY CỔ PHẦN ĐẦU TƯ CAO SU ĐẮK LẮK
DRL,CÔNG TY CỔ PHẦN THỦY ĐIỆN - ĐIỆN LỰC 3
DS3,CÔNG TY CỔ PHẦN QUẢN LÝ ĐƯỜNG SÔNG SỐ 3
DSD,CÔNG TY CỔ PHẦN DHC SUỐI ĐÔI
DSG,CÔNG TY CỔ PHẦN KÍNH ĐÁP CẦU
DSN,CÔNG TY CỔ PHẦN CÔNG VIÊN NƯỚC ĐẦM SEN
DSP,CÔNG TY CỔ PHẦN DỊCH VỤ DU LỊCH PHÚ THỌ
DSS,CÔNG TY CỔ PHẦN ĐƯỜNG SẮT SÀI GÒN
DST,CÔNG TY CỔ PHẦN ĐẦU TƯ SAO THĂNG LONG
DSV,CÔNG TY CỔ PHẦN ĐƯỜNG SẮT VĨNH PHÚ
DT4,CÔNG TY CỔ PHẦN QUẢN LÝ ĐƯỜNG SÔNG SỐ 4
DTA,CÔNG TY CỔ PHẦN ĐỆ TAM
DTB,CÔNG TY CỔ PHẦN CÔNG TRÌNH ĐÔ THỊ BẢO LỘC
DTC,CÔNG TY CỔ PHẦN VIGLACERA ĐÔNG TRIỀU
DTD,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN THÀNH ĐẠT
DTE,CÔNG TY CỔ PHẦN ĐẦU TƯ NĂNG LƯỢNG ĐẠI TRƯỜNG THÀNH HOLDINGS
DTF,CTCP THỰC PHẨM VÀ NƯỚC GIẢI KHÁT DONA NEWTOWER
DTG,CÔNG TY CỔ PHẦN DƯỢC PHẨM TIPHARCO
DTH,CÔNG TY CỔ PHẦN DƯỢC - VẬT TƯ Y TẾ THANH HÓA
DTI,CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỨC TRUNG
DTJ,CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VIỄN THÔNG ĐỒNG THÁP
DTK,TỔNG CÔNG TY ĐIỆN LỰC TKV - CTCP
